x1,x2
9.664135638693003294e-01,2.535869787478941095e+00
-2.661828152070635944e+00,2.697620125315688622e+00
-4.324437550504152128e-01,2.823141541765624929e+00
-1.137235691211334832e+00,4.183564660940886526e+00
-6.373191514972620375e-01,2.429927804608465802e+00
-5.072574286098165963e-01,2.784494164905449320e+00
-4.124810694967201208e+00,1.916425701958255789e+00
-2.283475004848164680e+00,1.990777910855225041e+00
-2.392239102589641675e+00,1.518607615532971078e+00
-7.044012659374025986e-01,1.029294143092287062e+00
-1.040598391225168839e+00,8.950212832156700937e-01
1.524189522044703260e-01,-2.056522369798274852e-01
-2.621428688044477262e+00,2.251772545112083357e+00
-4.995480840739435990e+00,2.369793902093129123e+00
-1.821758686353677881e+00,2.344717620386612023e+00
-3.424312331553029054e+00,1.151375176910275799e+00
1.890508394862422392e-01,1.747785386825886800e+00
-1.120291083184437042e+00,2.509483012777995903e+00
5.208639840562172552e-01,1.194900775968170237e+00
-3.420913087291757471e+00,1.817659662299420109e+00
-8.233379664140696441e-01,1.076819513801514416e+00
-3.290690873468435029e+00,3.740349884232357702e+00
-2.086835528358350622e+00,1.725626473151150808e+00
-3.190361653579564027e+00,3.607763822311255808e+00
-3.751318161881817659e+00,2.578177166069638204e+00
-1.072701150323138286e+00,6.459387473935327417e-01
-4.931859344514263555e+00,3.338667724307313289e+00
-4.180535107137119510e+00,8.006003771036549477e-01
-2.268008727354711596e+00,1.959180076853039854e+00
-4.733670672356451448e+00,3.555326099435065501e+00
-4.181598560625055860e+00,2.328748326497771526e-01
-2.143218529960321916e+00,1.955677710499586386e+00
-4.256669580984617340e+00,1.685436535998184882e+00
-5.967513904498042976e-01,2.375255762441575769e+00
-2.463648667876157106e+00,3.689155977273691711e+00
4.542643095232326012e-01,1.616061605687793001e-01
2.608639766706191132e-01,2.746843383072660849e+00
-4.118259732123966899e+00,5.294346898660173828e-02
-1.051921528208616508e+00,1.196335359632968887e+00
-1.130377719186152596e+00,1.016791317060704358e+00
-3.609803926925017947e+00,1.151224258312733673e+00
-5.028309106959406805e+00,1.993017654684571704e+00
-1.164570513716091327e+00,2.849716324920167132e+00
-3.649144176146921659e+00,2.285206764720487449e+00
2.282675380135712473e-01,2.777963640204565543e+00
-7.197608807044701962e-01,-6.484117976660965788e-01
-5.775206885362607068e-01,1.822235823174386482e+00
-5.361293689171553467e-02,5.482462357995425695e-01
-4.777182432330293160e+00,2.513788155933347923e+00
2.646718887340948179e+00,1.520129932788474303e+00
2.085107726565074593e+00,2.799896781623715025e+00
-2.701146288380862792e+00,2.960015360842077836e+00
-1.256001609170017019e+00,2.221163339968948325e+00
1.022233148542654124e+00,3.072085431760957164e+00
2.135544111957718094e+00,1.641781880550908124e+00
-3.552350199109786111e-01,2.654235146822728986e+00
-9.074470380880264031e-01,2.648271639744909756e+00
-5.617719518172259896e+00,2.844211903218790471e+00
-2.926300473112934064e+00,2.442202555964345656e+00
-2.124938065878748006e+00,2.930575025276425993e+00
-4.725019245350020825e+00,2.061171280721861176e+00
-2.873328032909125085e+00,1.990095818897270608e+00
-8.816010571784902439e-01,2.753803818988033836e+00
-2.841989841749216872e+00,2.587307886605755947e+00
-2.430597606828895252e+00,1.914477358054120559e+00
-2.213122384480160854e+00,2.774749306567918516e+00
-4.527533586452120673e+00,-5.771391155756422364e-03
-1.726234272076165865e-02,3.243768109262834543e+00
-1.417754619608125211e+00,1.669031600379853764e+00
8.983374108800243896e-01,1.769679013296155512e+00
1.427018885093689349e+00,3.115101615242167998e+00
-3.952450133437346302e+00,1.661416136009882916e+00
-1.184422073450113189e+00,1.405264762687802538e+00
-2.864942369125172306e+00,5.736416880697821075e-01
1.517052473486059316e+00,1.961558628829072060e+00
-2.602986927605454248e+00,3.401250507285119351e+00
-4.496081919477950883e+00,4.466566917066199238e+00
-1.992301071820983260e+00,9.211221712775186088e-01
-3.651933613917622168e+00,4.132950577907767986e+00
-1.067243268406655510e+00,1.015956132887736230e+00
-3.910847901291109707e+00,-4.062333077812820825e-01
-6.222411113560948337e+00,1.332431091208596374e+00
-4.885840294620825475e+00,4.688916300033398876e+00
-1.058052588891165158e-01,2.032241466584002509e+00
-2.474749470143255969e+00,1.882963440212359396e+00
-3.416648676135860541e+00,3.335401836241071560e+00
-8.934980746800600393e-01,3.230596153119360547e+00
-1.459161107983297345e+00,1.205371011262959202e+00
-1.387361749661084609e-01,2.353402152683571558e+00
-5.517899409720552484e-01,2.415803134840446731e+00
-2.757919183732512991e+00,8.673006835977348228e-01
-5.408918053309420770e+00,2.270280695942275884e+00
-2.418928915802064594e+00,1.111861361611000465e+00
-4.819496428955776679e+00,2.989427327112935906e+00
-5.453083448129250499e+00,8.533523570976164763e-01
-5.902544671580196578e-01,2.752405852610185555e+00
-2.524462788897229082e+00,3.131672077793186126e-01
-1.421363944235818355e+00,2.076764223297229872e+00
-9.986683517548922140e-02,2.527908195423922422e+00
-3.869348620639510017e-01,1.860338311644544884e+00
-4.098679127416493984e+00,1.718307017064065523e+00
1.934506946459580323e+00,2.978770698345805990e+00
2.321948820924779611e-02,3.930108674266701740e+00
1.604992705855067481e+00,2.334791215848758483e+00
-3.591862572716620683e+00,1.567211845506162105e+00
-2.322515254158048492e+00,3.205308280563121670e+00
-3.178446543218536036e+00,3.832254931340976611e+00
-2.015448772377046893e+00,1.723754772666486357e+00
-2.842496706986083588e+00,2.362173303937073143e+00
-3.760252346921317823e+00,1.750803766293646646e+00
-3.780643889899563348e+00,9.446764471683064546e-01
-1.606492839760015556e+00,2.457221764978080980e+00
-7.344455181670372923e-02,1.588140590028704446e+00
-5.639398772891238920e+00,1.406878853809250707e+00
-1.872838550957353299e+00,2.502704853721499312e+00
-2.667443471389128185e+00,1.618538029111171506e+00
-8.293795853794012629e-01,2.001756788774139206e+00
-2.045176189650242726e+00,2.271307852199566657e+00
-8.075231776009907492e+00,1.734022715770358047e+00
-6.231641671458536536e+00,2.030795811698922648e+00
-6.351962562204045426e-01,2.055658035895103097e+00
-1.776407493643845203e+00,3.392453222186699868e+00
-2.393408530687848312e+00,2.352805334782723801e-01
-5.458004181439841673e+00,9.066885537353537305e-01
-6.127119165511716758e+00,1.279594307238478113e+00
-1.493457456814096140e+00,2.522446572140287557e+00
-2.096265995960939321e+00,2.348720804516016170e+00
-2.753864633464250034e+00,1.554973325388798955e+00
-4.230780340104297821e+00,1.762681005607195983e+00
-1.664927139930161726e+00,2.875176061723334620e+00
-3.447529564488473142e+00,2.645631837140431486e+00
-1.363037366185203325e+00,5.396367395788836951e-02
-4.532307610703420586e+00,2.710039946904159169e-01
-1.546183947726054164e-01,1.696891551815844501e+00
-4.687450985463836872e-01,6.689587527205784756e-01
-1.877641015648316980e-01,2.123815632096932582e+00
-2.361552295391717848e-01,3.702783988093683032e+00
-6.150643665052829334e+00,2.620288193910684349e+00
-1.065753567781484890e+00,1.349230673878496933e+00
-1.126768360753560572e+00,2.530214696297694132e+00
-2.229222207692380664e+00,1.399311467978984869e+00
-1.432276218803695489e+00,3.218142030457365799e+00
-5.719804969751724144e+00,1.466684923204868429e+00
-1.732116869042797269e+00,1.431077942185541740e+00
-2.048889422733347843e+00,1.996676080233254602e+00
-1.912643980011443201e+00,1.478008426395233776e+00
-2.042957884768951793e+00,1.090907812732011983e+00
-1.674107016650579816e+00,2.741338971418746162e+00
-1.075703746416981410e+00,2.282296477420540537e+00
-1.413324487295617882e+00,2.219819310578824645e+00
-1.593538967055971867e+00,2.737967443335642681e+00
-5.967347436079534440e+00,2.396105040998024904e+00
3.258532187309448602e-01,4.023024773935055975e+00
-6.177088805653205839e-01,2.291492039178984363e+00
-2.480482237822710267e+00,2.231371604062091230e+00
-3.542251544985544953e+00,2.634673976777505811e+00
-2.275956672804033687e-01,1.350165007661643601e+00
-3.705971367550248807e+00,1.700302170452633543e+00
-2.700813645130950569e+00,1.403644563696721637e+00
-2.648292410313478840e+00,3.910450691190621164e+00
-1.482150910605927852e+00,1.523146543481363357e+00
-4.828774880422148641e-02,2.422283304335285603e+00
-3.961097413992405336e+00,3.270548833286873958e+00
-3.225349908436692559e+00,1.273571700085817548e+00
-1.995149805341967397e+00,4.189258697532870279e+00
-4.330273317797447952e+00,2.206970386496206249e+00
-3.616653225729569598e+00,1.595570901200159764e+00
-1.219908202911251127e+00,1.385963211977832454e+00
-4.113017330412684913e+00,3.292390676763174540e+00
-1.964631399106402831e+00,6.063199478579399671e-01
1.433026413550610556e+00,9.802992603005604710e-01
-5.664986588300400250e-01,2.690502682217178254e+00
-3.113491040044839231e+00,3.920702941505684436e+00
-8.720437338466915378e-01,2.402626862070778468e+00
-2.217979443385287297e-01,2.629103648076077882e+00
-2.716907378700117448e-02,1.834268238843869803e+00
-6.049838959831985719e-01,3.137725873994272607e+00
-2.334173488020284459e+00,2.261503401183924566e+00
-5.829129078105935946e+00,3.272691064354777524e+00
-2.219607518734190599e+00,5.270736259731343409e-01
-1.756087729543926557e+00,2.727146355381382392e+00
-1.317639515685133489e+00,3.095449638139640580e+00
-2.402987850419191496e+00,2.117202930928688165e+00
-1.198362860702733457e+00,1.998226981692776683e+00
-2.836228202407347077e+00,1.359426769045533723e+00
-1.902853663548841556e+00,2.139969469561370907e+00
-1.448777026824812353e+00,1.511335921057865184e+00
-3.621483289804492856e+00,1.672619262090624170e+00
-4.154455794046819861e+00,1.114300728245399164e+00
-2.484525463414379409e+00,3.195087515498767683e+00
-1.131486634501376543e+00,1.603675560014834245e+00
-1.821088520609355221e+00,1.581044656224837031e+00
-2.339557770816639071e+00,2.033045333366160889e+00
9.643896282043256107e-01,1.921435678299268313e+00
-9.702125370268857019e-01,1.553676165978428170e+00
-1.072155536754943128e+00,2.055516874696503571e+00
-5.127525716284393020e+00,4.255702755766870293e-01
-1.640062264587820895e+00,2.700289343032113987e+00
-1.427116025142680211e+00,1.879898401743197445e+00
-1.282721618310489475e-02,2.777427547172087507e+00
1.489160383507540431e+00,8.281008504374964829e-01
-4.958590118825190629e+00,2.989393139785737397e+00
-5.823579886544353990e+00,1.813487014176576650e+00
-4.252462815126408557e+00,4.987476251249236547e-01
-1.268646801059611029e+00,2.787605121626422378e+00
-2.310035222449471348e-01,2.595660685398661016e+00
-2.588023479250185943e+00,5.105857510760687390e-01
-5.216187195147717226e+00,1.738674009516284258e+00
-3.672634517160396683e+00,1.853228050473414212e+00
-4.373977774936150809e-01,3.287810346102308934e+00
-3.351987139008876682e+00,3.378809868116522175e+00
-1.705443055102388250e+00,3.073736902114175606e+00
-2.592304968336383908e+00,2.847585482517463795e+00
-1.456513081919305730e+00,7.015312337991281844e-01
-2.870768333481606760e+00,1.869778233414532087e+00
-3.635011785488955205e+00,1.538816425056321213e+00
-2.953068537374194946e+00,3.416256363901215565e+00
-3.533492665714130787e+00,1.669299057139642883e+00
-3.192002769079914870e+00,1.621056707925864648e+00
-1.756741410333282793e+00,4.376138534894693510e-01
1.213376478125611779e+00,6.475553354220631164e-01
-3.891410690985252607e+00,2.408759296726575183e+00
-6.019191957063121379e+00,3.320402914921979587e+00
-1.900049859480138270e+00,1.390259450214859527e+00
-3.636084512917136635e+00,3.182551695659308066e-02
-3.557512317597187668e+00,8.713040970488632464e-01
1.189777153370365159e+00,2.986205792847544060e+00
-5.749743900243209360e+00,1.439153803013541788e+00
-2.988432204472803555e+00,3.887327647430983912e+00
-2.277149190396444922e+00,1.198473112749584235e+00
-1.886917814758777290e+00,3.635233491459792798e+00
-3.896346099934084428e+00,1.722153000589406124e+00
4.330900985008523385e-01,-5.179585208544703612e-01
-7.595616911829647933e-01,2.743951466505720749e+00
-1.297036155498257681e+00,1.689597455440250862e+00
-2.920788319714856307e+00,1.326073549674141150e+00
3.950245543742420651e+00,1.774993638843840094e+00
3.463869807772099740e-01,1.006029502232937523e+00
2.851025530143780351e-01,-1.013207355385783437e-01
-2.237734583225463147e+00,3.335841641066568108e+00
-4.564428200128867630e+00,4.201109977107020832e+00
1.114597676599172971e+00,1.234062877783665080e+00
-2.849536749944398650e+00,1.637349678509803841e+00
-3.310415006801299853e+00,1.730797577990587754e+00
-3.365082283353473258e+00,4.574088070530701877e-01
-7.128339546004401228e+00,1.324650036550573340e+00
-4.574708159691255105e+00,2.001983915419112137e+00
-3.275542563292642484e+00,1.965908597721937268e+00
-4.230401249399223573e+00,2.567229595882470239e+00
-4.879733279749574493e+00,4.817480527924478118e-02
-3.965162504671568833e+00,2.259146066661203989e+00
1.028274535552124558e+00,5.105006352668661762e-01
-2.200288327265437438e+00,3.552177243010707031e+00
-1.557407232215461512e+00,3.454948187426197137e+00
-2.951611752958780421e-01,3.857231519726477487e+00
-2.078166921550625545e+00,7.940074089612163544e-01
-6.010967358633390489e+00,1.825312090672756016e+00
-1.171936709459772352e+00,2.649152715958938309e+00
-8.497589975051100808e-02,7.651402166198013610e-01
-1.161670803269532648e+00,3.519886150489585752e+00
7.855142301398929661e-01,2.777119348409294197e+00
-1.700555805855823888e+00,2.124620432038208051e+00
-2.305210328489746274e-01,2.459424291840206944e+00
-4.820199149492932378e+00,1.211468840959463833e+00
-6.963024280049814330e-01,2.385422769531578613e+00
-3.651705846023570956e+00,4.003033321718096005e+00
-1.153067852083194289e+00,1.848395458889740439e+00
-4.316862939866830118e-01,8.045121196782538675e-01
